Comp No,Comp Name,SIC Code,Inc Date,Last Made Up Date,Cash
8177928,RED CORE MARKETING LIMITED,None,13/08/2012,,
00 06272442,,,,,
0,,,,,
0,,,,,
6809256,HAPPY LAPPY LIMITED,95110,04/02/2009,04/02/2012,"2,437"
4295083,NL GROUP LIMITED,78109,27/09/2001,27/09/2012,"42,794"
2703634,DURHAM MARKETS COMPANY LIMITED,47190,01/04/1992,01/04/2012,"281,636"
0,,,,,
7768728,OVIVO MOBILE COMMUNICATIONS LIMITED,61200,09/09/2011,09/09/2012,
0,,,,,
7455858,ISEED LTD,70229,01/12/2010,01/12/2011,57
0,,,,,
0,,,,,
0,,,,,
8263471,ASPIRED INTERNET LIMITED,None,22/10/2012,,
0,,,,,
4871004,RETELL LIMITED,26200,19/08/2003,19/08/2012,"24,468"
0,,,,,
0,,,,,
0,,,,,
8252270,PROBATE FORMS LIMITED,None,15/10/2012,,
0,,,,,
0,,,,,
8332730,HOMESTORE2U LIMITED,None,17/12/2012,,
8361565,MARKETING101 LIMITED,None,15/01/2013,,
7185772,THE NATIONWIDE ENTERTAINMENT COMPANY LIMITED,93290,11/03/2010,11/03/2012,472
2902580,CWMNI DA CYF,59113,25/02/1994,15/03/2012,"2,381,806"
6201951,SHIRLEY-JANE LTD,56302,03/04/2007,03/04/2012,"6,076"
0,,,,,
8146317,OGILVIE NASH LTD,None,17/07/2012,,
0,,,,,
0,,,,,
6347267,MH HIGHWAY & TRANSPORTATION SERVICES LTD,42990,20/08/2007,20/08/2012,0
00SC416465,,,,,
6798804,MARTINS COSTA IMMIGRATION LTD,96090,22/01/2009,22/01/2012,"3,908"
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
6192176,LAZY DAISY LTD,85510,29/03/2007,10/04/2012,"40,765"
7313735,WEBSAND LIMITED,62012,14/07/2010,14/07/2012,0
0,,,,,
7090107,KEEBO LTD,63120,28/11/2009,28/11/2012,"11,750"
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
"00	SC407483",,,,,
0,,,,,
8231351,THE DIGITAL WORK HUB LTD,None,27/09/2012,,
0,,,,,
6905633,CRMLABS LIMITED,58290,14/05/2009,14/05/2012,"8,648"
7573030,ALLSTAR NATION LTD,14190,22/03/2011,22/03/2012,"4,375"
0,,,,,
0,,,,,
0,,,,,
0,,,,,
6318477,MAD JUNGLE LTD,74909,19/07/2007,16/07/2012,"10,106"
0,,,,,
0,,,,,
0,,,,,
7438504,HBM SYSTEMS LTD,82990,12/11/2010,12/11/2012,"11,768"
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
8158849,PROPERTY GOOSE MEDIA LTD,None,27/07/2012,,
0,,,,,
7495895,GOCARDLESS LTD,62090,17/01/2011,17/01/2012,"572,738"
0,,,,,
0,,,,,
0,,,,,
0,,,,,
00SC421828,,,,,
0,,,,,
0,,,,,
8358680,GRAFIK DESIGN LIMITED,None,14/01/2013,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
67898768,,,,,
6905633,CRMLABS LIMITED,58290,14/05/2009,14/05/2012,"8,648"
6205772,THE PAYROLL & TAX ACCOUNTANTS LTD,69201,10/04/2007,10/04/2012,"4,673"
0,,,,,
5742800,BROTHERHOOD DIGITAL MEDIA LIMITED,62090,14/03/2006,14/03/2012,"1,899"
0,,,,,
8126663,GIGGLE BOOTH (FRANCHISING) LIMITED,None,02/07/2012,,
0,,,,,
8351862,VELOTIVO LIMITED,None,08/01/2013,,
0,,,,,
0,,,,,
8014116,INTELLECT MANAGEMENT SOLUTIONS LTD,None,30/03/2012,,
0,,,,,
00SC382442,,,,,
0,,,,,
0,,,,,
0,,,,,
8355434,FUNDING ADVENTURE,None,10/01/2013,,
0,,,,,
0,,,,,
00FC029117,,,,,
00dmple,,,,,
8230220,GREAT CHOICE FLOORING LIMITED,None,26/09/2012,,
7903799,BNKTOTHEFUTURE.COM LIMITED,None,10/01/2012,,
0,,,,,
0,,,,,
0,,,,,
4457636,EXPOSURE 4 LIMITED,74201,10/06/2002,10/06/2012,"71,433"
0,,,,,
0,,,,,
0,,,,,
